Date,Close/Last,Volume,Open,High,Low
05/04/2022,$97.79,2336431,$94.26,$98.18,$93.91
05/03/2022,$94.65,2029453,$93.39,$95.60,$92.56
05/02/2022,$93.81,2066794,$90.00,$93.89,$88.88
04/29/2022,$89.93,2125960,$93.05,$93.57,$89.63
04/28/2022,$93.58,1442072,$93.58,$94.41,$91.75
04/27/2022,$93.03,2296149,$93.37,$94.80,$91.40
04/26/2022,$92.83,2719341,$92.78,$94.54,$91.425
04/25/2022,$93.07,1648726,$90.55,$93.25,$89.30
04/22/2022,$91.28,1956037,$93.15,$93.24,$90.56
04/21/2022,$93.64,1643123,$95.79,$96.75,$93.23
04/20/2022,$94.40,1340284,$96.03,$96.18,$93.97
04/19/2022,$95.57,1809352,$93.31,$96.13,$92.78
04/18/2022,$93.48,1628040,$93.69,$94.51,$91.96
04/14/2022,$93.84,2019552,$95.50,$96.77,$93.50
04/13/2022,$95.23,1874199,$92.95,$95.749,$92.27
04/12/2022,$93.23,3146778,$95.77,$97.62,$92.95
04/11/2022,$94.16,1988140,$92.72,$95.928,$92.64
04/08/2022,$93.36,3967273,$89.79,$95.91,$89.00
04/07/2022,$92.07,2398094,$91.03,$92.81,$90.14
04/06/2022,$91.06,2647804,$90.99,$91.5733,$88.51
04/05/2022,$92.52,2381667,$94.04,$94.766,$92.05
04/04/2022,$94.34,2633729,$91.26,$94.59,$90.75
04/01/2022,$90.38,2939654,$92.32,$92.43,$89.65
03/31/2022,$90.90,5580839,$92.89,$93.1494,$89.56
03/30/2022,$96.43,2160918,$99.29,$99.635,$96.10
03/29/2022,$100.75,2565442,$98.21,$100.93,$97.37
03/28/2022,$96.73,2027084,$96.46,$96.93,$95.18
03/25/2022,$96.30,1679729,$97.20,$97.38,$94.88
03/24/2022,$96.71,1849065,$96.84,$97.58,$95.26
03/23/2022,$96.59,1747576,$97.89,$98.48,$95.715
03/22/2022,$99.30,2957037,$99.96,$100.52,$98.02
03/21/2022,$99.04,2393374,$101.82,$103.23,$97.89
03/18/2022,$101.84,4606242,$98.23,$102.37,$97.91
03/17/2022,$99.29,1990575,$98.69,$99.95,$97.78
03/16/2022,$98.84,2438711,$99.78,$100.87,$95.49
03/15/2022,$99.06,2971483,$95.01,$99.58,$94.86
